orderId,itemId,Quantity,Name,catId,catName
1,11,1,Garden Fresh Pizza ,27,Pizza 
2,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
2,32,1,Chicken Tikka Pizza Cone,28,Pizza Cones
2,87,5,BBQ Cottage Cheese,28,Pizza Cones
7,85,1,Tandoori Chicken,27,Pizza 
7,86,1,Pepperoni,27,Pizza 
11,55,2,Simply Veggie,34,NULL
11,73,2,Lavacake,35,NULL
14,23,1,Jughalbandhi,27,Pizza 
14,36,1,Cheese Garlic Bread ,29,Starters
25,97,5,Pepsi,38,Beverages 
25,97,1,Pepsi,38,Beverages 
25,96,1,7UP,38,Beverages 
25,98,1,Miranda,38,Beverages 
27,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
27,90,1,French Fries,29,Starters
31,7,2,Margherita Pizza,27,Pizza 
31,97,1,Pepsi,38,Beverages 
32,97,4,Pepsi,38,Beverages 
32,98,1,Miranda,38,Beverages 
34,78,1,Chicken Sausage ,27,Pizza 
34,77,1,Chicken Delight ,27,Pizza 
35,7,2,Margherita Pizza,27,Pizza 
35,7,1,Margherita Pizza,27,Pizza 
35,36,1,Cheese Garlic Bread ,29,Starters
37,7,2,Margherita Pizza,27,Pizza 
37,36,1,Cheese Garlic Bread ,29,Starters
40,31,1,Garden Fresh Pizza Cone,28,Pizza Cones
40,87,1,BBQ Cottage Cheese,28,Pizza Cones
40,39,1,Lava Cake,31,Desserts
41,23,1,Jughalbandhi,27,Pizza 
41,90,1,French Fries,29,Starters
43,77,1,Chicken Delight ,27,Pizza 
43,33,1,Potato Wedges,29,Starters
43,36,1,Cheese Garlic Bread ,29,Starters
44,17,1,Veg Supreme Pizza,27,Pizza 
44,90,1,French Fries,29,Starters
47,95,1,Mountain Dew ,38,Beverages 
48,77,1,Chicken Delight ,27,Pizza 
48,35,1,Garlic Bread,29,Starters
49,19,1,Veg Feast Pizza ,27,Pizza 
53,36,1,Cheese Garlic Bread ,29,Starters
53,7,1,Margherita Pizza,27,Pizza 
54,16,1,Corn Exotica Pizza,27,Pizza 
54,90,1,French Fries,29,Starters
56,90,1,French Fries,29,Starters
56,7,1,Margherita Pizza,27,Pizza 
57,7,1,Margherita Pizza,27,Pizza 
57,90,1,French Fries,29,Starters
61,21,1,Rainbow Veggie Pizza ,27,Pizza 
61,36,1,Cheese Garlic Bread ,29,Starters
61,78,1,Chicken Sausage ,27,Pizza 
61,77,1,Chicken Delight ,27,Pizza 
61,88,1,Chicken Fingers(Boneless) ,29,Starters
61,95,2,Mountain Dew ,38,Beverages 
61,98,1,Miranda,38,Beverages 
